city_clean,country_norm,region_nuts,Access to large green spaces_rescaled,Surrounding greenness_rescaled,Universal access to green spaces_rescaled,Opportunity to walk_rescaled,Opportunity to cycle_rescaled,Air quality (NO2)_rescaled,Air quality (PM2.5)_rescaled,Lower urban heat islands_rescaled,Public transport stops_rescaled,Permeability_rescaled
Varna,BG,BG331,6.37,2.66,4.88,4.85,3.08,8.34,6.28,4.31,1.7,2.3
Uppsala,SE,SE121,4.01,5.45,3.76,6.44,6.96,9.23,9.52,5.84,2.32,5.63
Wakefield,UK,UKE43,6.04,6.69,5.07,5.65,2.19,6.07,7.89,6.83,4.49,4.1
Nancy,FR,FRF31,6.98,2.94,3.43,6.65,1.9,4.24,6.26,6.48,4.59,2.4
Szczecin,PL,PL424,4.89,5.06,3.89,9.02,2.83,6.8,6.36,5.02,3.6,3.01
Swansea,UK,UKL21,5.74,5.0,4.21,4.18,2.91,7.87,7.98,5.64,4.61,3.73
Rotherham,UK,UKE32,6.22,6.19,5.13,5.33,1.56,5.89,7.74,6.48,4.69,3.78
Wuppertal,DE,DEA14,6.67,4.52,5.86,7.06,0.8,3.26,6.39,4.67,4.14,2.93
Augsburg,DE,DE271,5.56,4.08,4.42,8.57,1.87,5.6,6.25,4.03,3.52,1.82
Brno,CZ,CZ064,5.66,3.49,5.07,9.15,2.06,6.01,4.22,4.96,3.59,2.65
Erfurt,DE,DEG01,4.82,5.56,4.41,7.71,2.65,6.19,6.3,6.17,2.7,2.63
Aachen,DE,DEA21,6.21,4.51,5.09,6.96,2.65,4.58,6.29,4.42,3.84,2.56
Metz,FR,FRF32,6.32,4.22,4.72,6.45,2.47,4.53,6.32,5.57,2.97,3.34
Toulon,FR,FRL04,7.09,3.78,3.09,3.78,2.52,6.67,6.63,6.91,3.15,3.62
Karlsruhe,DE,DE122,5.42,4.59,4.65,7.9,2.75,4.29,6.05,4.9,3.12,2.73
Ljubljana,SI,SI041,6.46,5.1,5.61,6.63,2.4,6.76,1.9,4.86,2.61,3.58
Bergen,NO,NO051,4.86,4.8,3.91,6.41,5.14,8.45,9.35,5.43,3.75,6.02
Mainz,DE,DEB35,4.7,3.38,3.92,8.49,1.55,3.58,6.18,7.08,4.07,2.86
Kiel,DE,DEF02,5.61,4.23,4.21,8.21,1.62,5.16,6.63,6.68,3.68,3.12
Bari,IT,ITF47,4.02,2.27,4.56,4.05,2.47,4.94,5.16,9.65,3.83,3.76
Gelsenkirchen,DE,DEA32,5.63,4.51,4.43,6.92,1.81,2.33,5.72,5.87,3.8,2.95
Chemnitz,DE,DED41,5.82,4.78,4.81,7.18,2.4,5.71,5.94,5.17,3.29,3.45
Oberhausen,DE,DEA16,5.91,4.23,4.98,6.6,1.34,2.43,5.76,5.21,4.16,2.97
Reims,FR,FRF22,5.0,3.04,3.8,5.49,3.84,5.18,6.05,5.31,4.3,1.46
Mulhouse,FR,FRF12,6.75,3.47,4.96,4.82,4.2,5.92,5.95,3.5,2.59,2.56
Charleroi,BE,BE32,5.97,3.79,3.56,4.39,3.07,4.28,5.93,5.78,3.65,4.44
Alicante,ES,ES521,4.42,4.69,3.66,4.99,4.38,5.89,6.14,9.65,2.5,5.37
